timestamp,target_x,target_y,gaze_x,gaze_y,error_x,error_y,error_distance,target_index
1763690706.651733,1286,491,1478,981,192,490,526.2736930533389,5
1763690706.687466,1286,491,1476,981,190,490,525.5473337388365,5
1763690706.726204,1286,491,1471,981,185,490,523.7604414233667,5
1763690706.761947,1286,491,1468,981,182,490,522.7083316726452,5
1763690706.7991161,1286,491,1468,981,182,490,522.7083316726452,5
1763690706.83482,1286,491,1466,981,180,490,522.0153254455275,5
1763690706.878081,1286,491,1471,981,185,490,523.7604414233667,5
1763690706.9153159,1286,491,1471,981,185,490,523.7604414233667,5
1763690706.953334,1286,491,1473,981,187,490,524.4702088774919,5
1763690706.990346,1286,491,1478,981,192,490,526.2736930533389,5
1763690707.026096,1286,491,1478,981,192,490,526.2736930533389,5
1763690707.0679739,1286,491,1476,981,190,490,525.5473337388365,5
1763690707.105163,226,835,1473,981,1247,146,1255.5178214585408,6
1763690707.139984,226,835,1468,981,1242,146,1250.5518781721933,6
1763690707.177069,226,835,1466,981,1240,146,1248.565576972231,6
1763690707.214713,226,835,1466,981,1240,146,1248.565576972231,6
1763690707.254626,226,835,1468,981,1242,146,1250.5518781721933,6
1763690707.291025,226,835,1466,981,1240,146,1248.565576972231,6
1763690707.334982,226,835,1461,981,1235,146,1243.6000160823414,6
1763690707.3714712,226,835,1337,981,1111,146,1120.5520960669344,6
1763690707.409369,226,835,1304,981,1078,146,1087.8419002777932,6
1763690707.446213,226,835,1304,981,1078,146,1087.8419002777932,6
1763690707.483872,226,835,1304,981,1078,146,1087.8419002777932,6
1763690707.526078,226,835,1301,981,1075,146,1084.8691165297314,6
1763690707.5624802,226,835,1296,981,1070,146,1079.9148114550517,6
1763690707.5987918,226,835,1291,981,1065,146,1074.960929522557,6
1763690707.638735,226,835,1286,981,1060,146,1070.0074766093926,6
1763690707.67563,226,835,1271,981,1045,146,1055.1497524048423,6
1763690707.713398,226,835,1274,981,1048,146,1058.1209760703168,6
1763690707.755192,226,835,1276,981,1050,146,1060.1018818962639,6
1763690707.798966,226,835,1279,981,1053,146,1063.0733747018594,6
1763690707.835416,226,835,1276,981,1050,146,1060.1018818962639,6
1763690707.878261,226,835,1274,981,1048,146,1058.1209760703168,6
1763690707.917425,226,835,1268,981,1042,146,1052.178692048076,6
1763690707.953826,226,835,1268,981,1042,146,1052.178692048076,6
1763690707.995683,226,835,1271,981,1045,146,1055.1497524048423,6
1763690708.034631,226,835,1274,981,1048,146,1058.1209760703168,6
1763690708.0699232,226,835,1276,981,1050,146,1060.1018818962639,6
1763690708.109211,226,835,1276,981,1050,146,1060.1018818962639,6
1763690708.150957,226,835,1274,981,1048,146,1058.1209760703168,6
1763690708.188022,226,835,1271,981,1045,146,1055.1497524048423,6
1763690708.230919,226,835,1271,981,1045,146,1055.1497524048423,6
1763690708.268516,226,835,1268,981,1042,146,1052.178692048076,6
1763690708.304926,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.342765,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.379895,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.422399,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.458035,226,835,1281,981,1055,146,1065.0544587015258,6
1763690708.494708,226,835,1281,981,1055,146,1065.0544587015258,6
1763690708.531677,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.566936,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.6028259,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.638449,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.6750772,226,835,1279,981,1053,146,1063.0733747018594,6
1763690708.711197,226,835,1337,981,1111,146,1120.5520960669344,6
1763690708.748283,226,835,1354,981,1128,146,1137.4093370462544,6
1763690708.7909272,226,835,1354,981,1128,146,1137.4093370462544,6
1763690708.829331,226,835,1354,981,1128,146,1137.4093370462544,6
1763690708.866566,226,835,1352,981,1126,146,1135.4259112773498,6
1763690708.908437,226,835,1352,981,1126,146,1135.4259112773498,6
1763690708.946652,226,835,1349,981,1123,146,1132.450881937049,6
1763690708.983228,226,835,1347,981,1121,146,1130.4676023663835,6
1763690709.022882,226,835,1344,981,1118,146,1127.4927937685457,6
1763690709.0628622,226,835,1344,981,1118,146,1127.4927937685457,6
1763690709.09895,226,835,1344,981,1118,146,1127.4927937685457,6
1763690709.1398559,756,835,1347,981,591,146,608.7667862161995,7
1763690709.1828742,756,835,1352,981,596,146,613.6220335027092,7
1763690709.22103,756,835,1354,981,598,146,615.5647813187496,7
1763690709.2582662,756,835,1349,981,593,146,610.7086048190249,7
1763690709.2937999,756,835,1347,981,591,146,608.7667862161995,7
1763690709.33044,756,835,1344,981,588,146,605.8547680756503,7
1763690709.3706062,756,835,1347,981,591,146,608.7667862161995,7
1763690709.40658,756,835,1347,981,591,146,608.7667862161995,7
1763690709.442105,756,835,1347,981,591,146,608.7667862161995,7
1763690709.4771461,756,835,1347,981,591,146,608.7667862161995,7
1763690709.512981,756,835,1349,981,593,146,610.7086048190249,7
1763690709.5501041,756,835,1511,12,755,-823,1116.8500346957958,7
1763690709.586113,756,835,1511,25,755,-810,1107.3052876239688,7
1763690709.619054,756,835,1357,981,601,146,618.4795873753636,7
1763690709.653148,756,835,1357,981,601,146,618.4795873753636,7
1763690709.692585,756,835,1357,981,601,146,618.4795873753636,7
